Time,Value
2010-01,36
2010-02,56
2010-03,44
2010-04,35
2010-05,34
2010-06,31
2010-07,40
2010-08,44
2010-09,47
2010-10,38
2010-11,44
2010-12,40
2011-01,100
2011-02,71
2011-03,53
2011-04,52
2011-05,50
2011-06,65
2011-07,70
2011-08,71
2011-09,73
2011-10,74
2011-11,73
2011-12,67
2012-01,89
2012-02,61
2012-03,58
2012-04,48
2012-05,54
2012-06,47
2012-07,48
2012-08,50
2012-09,62
2012-10,56
2012-11,73
2012-12,59
2013-01,59
2013-02,69
2013-03,63
2013-04,62
2013-05,62
2013-06,39
2013-07,53
2013-08,53
2013-09,61
2013-10,73
2013-11,52
2013-12,47
2014-01,70
2014-02,60
2014-03,56
2014-04,50
2014-05,41
2014-06,31
2014-07,42
2014-08,54
2014-09,50
2014-10,44
2014-11,44
2014-12,34
2015-01,56
2015-02,68
2015-03,72
2015-04,45
2015-05,42
2015-06,39
2015-07,45
2015-08,43
2015-09,36
2015-10,40
2015-11,42
2015-12,38
2016-01,51
2016-02,54
2016-03,48
2016-04,36
2016-05,37
2016-06,39
2016-07,42
2016-08,43
2016-09,41
2016-10,39
2016-11,28
2016-12,19
2017-01,54
2017-02,45
2017-03,38
2017-04,30
2017-05,36
2017-06,37
2017-07,42
2017-08,39
2017-09,31
2017-10,35
2017-11,31
2017-12,30
2018-01,35
2018-02,49
2018-03,37
2018-04,31
2018-05,30
2018-06,30
2018-07,31
2018-08,37
2018-09,27
2018-10,27
2018-11,30
2018-12,31
2019-01,42
2019-02,59
2019-03,34
2019-04,32
2019-05,33
2019-06,31
2019-07,35
2019-08,41
2019-09,31
2019-10,31
2019-11,35
2019-12,34
2020-01,38
2020-02,47
2020-03,32
2020-04,13
2020-05,15
2020-06,16
2020-07,19
2020-08,28
2020-09,18
2020-10,17
2020-11,19
2020-12,15
2021-01,22
2021-02,15
2021-03,23
2021-04,31
2021-05,32
2021-06,15
2021-07,15
2021-08,18
2021-09,21
2021-10,17
2021-11,17
2021-12,19
2022-01,29
2022-02,39
2022-03,31
2022-04,28
2022-05,28
2022-06,28
2022-07,26
2022-08,23
2022-09,21
2022-10,20
2022-11,29
2022-12,20
2023-01,16
2023-02,37
2023-03,37
2023-04,29
2023-05,35
2023-06,30
2023-07,32
2023-08,32
2023-09,30
2023-10,38
2023-11,31
2023-12,22
2024-01,35
2024-02,35
2024-03,34
2024-04,31
2024-05,18
2024-06,17
2024-07,25
2024-08,28
2024-09,26
2024-10,31
2024-11,33
2024-12,21
2025-01,39
2025-02,34
2025-03,27
